time_sec,x_cart,vel_cart,ang_pole,vel_pole,torque_input,encoder_duration_s,iteration_duration_s,bytesWaiting
0.014327,0,-0.00196077,-0,-0,-0.00693483,0.014085,0.0143268,4019
0.0168271,0,0.00140055,-0,-0,0.00495345,0.00104879,0.00243191,0
0.0193272,0,-0.00028011,-0,-0,-0.00099069,0.000250696,0.00248472,9
0.0218272,0,-0.00196077,-0,-0,-0.00693483,0.00011523,0.00246609,6
0.0243273,0,-0.00196077,-0,-0,-0.00693483,0.000404106,0.00248804,9
0.0268274,0,0.00476187,-0,-0,0.0168417,0.000109629,0.0024843,6
0.0293274,0,-0.00196077,-0,-0,-0.00693483,0.000452824,0.00248627,9
0.0318275,0,0.00308121,-0,-0,0.0108976,0.000108798,0.00248528,6
0.0343276,0,-0.00364143,-0,-0,-0.012879,0.000556674,0.00248658,9
0.0368276,0,0.00140055,-0,-0,0.00495345,0.00012604,0.00248537,6
0.0393277,0,-0.00196077,-0,-0,-0.00693483,0.000123064,0.0024869,6
0.0418278,0,-0.00196077,-0,-0,-0.00693483,0.000129666,0.00248701,12
0.0443279,0,-0.00028011,-0,-0,-0.00099069,0.000109058,0.00248823,6
0.046828,0,0.00644253,-0,-0,0.0227859,0.000113296,0.00248756,12
0.049328,0,-0.00028011,-0,-0,-0.00099069,0.000116462,0.00248697,6
0.0518281,0,-0.00364143,-0,-0,-0.012879,0.000113046,0.00248853,12
0.0543282,0,-0.00364143,-0,-0,-0.012879,0.000107145,0.00248748,6
0.0568282,0,-0.00364143,-0,-0,-0.012879,0.000221944,0.0024888,9
0.0593283,0,-0.00196077,-0,-0,-0.00693483,0.000102297,0.00248701,6
0.0618284,0,-0.00364143,-0,-0,-0.012879,0.000324901,0.00248775,9
0.0643284,0,0.00140055,-0,-0,0.00495345,0.00010438,0.0024853,6
0.0668285,0,-0.00028011,-0,-0,-0.00099069,0.000430674,0.00248688,9
0.0693286,0,-0.00196077,-0,-0,-0.00693483,0.000106433,0.00248438,6
0.0718286,0,0.00140055,-0,-0,0.00495345,0.000546285,0.00248783,9
0.0743287,0,0.00140055,-0,-0,0.00495345,0.00011552,0.0024842,6
0.0768288,0,-0.00196077,-0,-0,-0.00693483,0.000655714,0.00248832,6
0.0793289,0,-0.00532209,-0,-0,-0.0188231,0.000105152,0.00248429,6
0.0818289,0,-0.00364143,-0,-0,-0.012879,0.000105382,0.00248724,6
0.084329,0,-0.00196077,-0,-0,-0.00693483,0.000119698,0.00248853,12
0.0868291,0,-0.00028011,-0,-0,-0.00099069,0.000106334,0.0024868,6
0.0893292,0,-0.00532209,-0,-0,-0.0188231,0.000109078,0.00248754,12
0.0918293,0,0.00308121,-0,-0,0.0108976,0.000102026,0.00248827,6
0.0943294,0,-0.00196077,-0,-0,-0.00693483,0.000224098,0.00248574,9
0.0968294,0,-0.00364143,-0,-0,-0.012879,0.000146777,0.00248516,6
0.0993295,0,-0.00364143,-0,-0,-0.012879,0.000377857,0.00248688,9
0.10183,0,-0.00028011,-0,-0,-0.00099069,0.000108858,0.00248401,6
0.10433,0,-0.00028011,-0,-0,-0.00099069,0.000437617,0.00248814,9
0.10683,0,0.00476187,-0,-0,0.0168417,0.000106955,0.00248424,6
0.10933,0,0.00476187,-0,-0,0.0168417,0.00053821,0.00248693,9
0.11183,0,0.00140055,-0,-0,0.00495345,0.000105271,0.00248537,6
0.11433,0,-0.00028011,-0,-0,-0.00099069,0.000651586,0.00248705,6
0.11683,0,-0.00196077,-0,-0,-0.00693483,0.000147699,0.00248548,6
0.11933,0,0.00140055,-0,-0,0.00495345,0.00010396,0.00248676,6
0.12183,0,0.00140055,-0,-0,0.00495345,0.00011023,0.00248737,12
0.12433,0,-0.00196077,-0,-0,-0.00693483,0.000102627,0.00248821,6
0.12683,0,0.00140055,-0,-0,0.00495345,0.000129455,0.00247577,12
0.12933,0,0.00140055,-0,-0,0.00495345,0.000106313,0.00248706,6
0.13183,0,-0.00196077,-0,-0,-0.00693483,0.000227143,0.00248866,9
0.13433,0,-0.00028011,-0,-0,-0.00099069,0.000109129,0.00248422,6
0.136831,0,0.00308121,-0,-0,0.0108976,0.000337123,0.00248811,9
0.139331,0,0.00140055,-0,-0,0.00495345,0.000121611,0.00248413,6
0.141831,0,-0.00028011,-0,-0,-0.00099069,0.000452163,0.00248704,9
0.144331,0,-0.00196077,-0,-0,-0.00693483,0.000113056,0.00248519,6
0.146831,0,-0.00196077,-0,-0,-0.00693483,0.000540103,0.00248667,9
0.149331,0,0.00140055,-0,-0,0.00495345,0.00011508,0.00248412,6
0.151831,0,0.00308121,-0,-0,0.0108976,0.00064803,0.00248788,6
0.154331,0,-0.00196077,-0,-0,-0.00693483,0.000114378,0.00248427,6
0.156831,0,-0.00532209,-0,-0,-0.0188231,0.000131169,0.00248793,6
0.159331,0,0.00140055,-0,-0,0.00495345,0.00010952,0.00248705,12
0.161831,0,0.00476187,-0,-0,0.0168417,0.000106364,0.00248715,6
0.164331,0,-0.00196077,-0,-0,-0.00693483,0.000107877,0.00248854,12
0.166831,0,-0.00364143,-0,-0,-0.012879,0.0001099,0.0024872,6
0.169331,0,-0.00196077,-0,-0,-0.00693483,0.000194124,0.00247916,9
0.171832,0,0.00140055,-0,-0,0.00495345,0.000107886,0.00248528,6
