time_sec,x_cart,vel_cart,ang_pole,vel_pole,torque_input,encoder_duration_s,iteration_duration_s,bytesWaiting
0.0122486,0,-0.00196077,-0,-0,-0.00514685,0.011989,0.0122484,4019
0.0157487,0,-0.00196077,-0,-0,-0.00514685,0.000219332,0.00343071,3
0.0192488,0,0.00308121,-0,-0,0.00808791,0.000211538,0.00348353,9
0.0227489,0,-0.00028011,-0,-0,-0.000735265,0.000124348,0.00348355,12
0.026249,0,-0.00364143,-0,-0,-0.00955844,0.000121653,0.00348569,12
0.029749,0,0.00476187,-0,-0,0.0124995,0.000120611,0.00348642,12
0.0332491,0,-0.00196077,-0,-0,-0.00514685,0.000131942,0.00348484,12
0.0367492,0,-0.00028011,-0,-0,-0.000735265,0.000118978,0.0034868,12
0.0402492,0,0.00476187,-0,-0,0.0124995,0.000124117,0.00348595,12
0.0437493,0,-0.00364143,-0,-0,-0.00955844,0.000118498,0.00348698,12
0.0472494,0,0.00140055,-0,-0,0.00367632,0.0001258,0.00348657,12
0.0507495,0,-0.00028011,-0,-0,-0.000735265,0.000118848,0.00348681,12
0.0542496,0,-0.00196077,-0,-0,-0.00514685,0.000125059,0.00348606,12
0.0577496,0,0.00140055,-0,-0,0.00367632,0.000126822,0.00348588,12
0.0612497,0,-0.00196077,-0,-0,-0.00514685,0.000123216,0.00348727,12
0.0647498,0,-0.00364143,-0,-0,-0.00955844,0.000120801,0.00348676,12
0.0682499,0,-0.00028011,-0,-0,-0.000735265,0.000606702,0.00348578,15
0.0717499,0,0.00140055,-0,-0,0.00367632,0.000528709,0.00348647,9
0.07525,0,-0.00364143,-0,-0,-0.00955844,0.000417786,0.00348658,9
0.0787501,0,-0.00028011,-0,-0,-0.000735265,0.000356323,0.00348674,9
0.0822501,0,-0.00364143,-0,-0,-0.00955844,0.000277368,0.00348113,9
0.0857502,0,-0.00028011,-0,-0,-0.000735265,0.000157158,0.00348387,9
0.0892503,0,-0.00196077,-0,-0,-0.00514685,0.000116353,0.00348668,12
0.0927503,0,-0.00028011,-0,-0,-0.000735265,0.000127243,0.00348149,12
0.0962504,0,-0.00700275,-0,-0,-0.0183816,0.000121413,0.0034855,12
0.0997505,0,0.00308121,-0,-0,0.00808791,0.000132933,0.00347944,12
0.103251,0,0.00140055,-0,-0,0.00367632,0.000120351,0.00348541,12
0.106751,0,0.00308121,-0,-0,0.00808791,0.000115171,0.00348697,12
0.110251,0,0.00644253,-0,-0,0.0169111,0.000117345,0.00348702,12
0.113751,0,-0.00028011,-0,-0,-0.000735265,0.000117295,0.00348719,12
0.117251,0,-0.00028011,-0,-0,-0.000735265,0.00011472,0.0034879,12
0.120751,0,0.00476187,-0,-0,0.0124995,0.000116032,0.00348708,12
0.124251,0,0.00308121,-0,-0,0.00808791,0.00011983,0.00348673,12
