time,x,x_dot,theta,theta_dot,torque
0.0,0.0058012004,1.3420625,2.763777,2.6766434,1334.9342
0.005,0.009823752,1.6590035,2.7732458,3.6614935,298.2041
0.01,0.01317778,1.6586865,2.7806506,3.6635585,9.765015
0.015,0.016377501,1.576004,2.787581,3.4087439,-16.850952
0.02,0.01963325,1.5940291,2.7946935,3.4679997,24.39795
0.025,0.022709507,1.5152876,2.8012505,3.224064,-15.917358
0.03,0.025840322,1.5325202,2.8079855,3.280983,23.57788
0.035,0.028800856,1.4586487,2.8141906,3.0510967,-14.769897
0.04,0.03181199,1.4743345,2.820562,3.103263,22.131958
0.045,0.03466306,1.405039,2.8264332,2.8867414,-13.6866455
0.05,0.03756096,1.4192615,2.8324587,2.9343674,20.779053
0.055,0.040308546,1.3543202,2.8380132,2.730716,-12.639038
0.06,0.043099284,1.3671358,2.8437104,2.7739375,19.496094
0.065,0.045749083,1.306387,2.8489645,2.5828233,-11.626282
0.07,0.048438303,1.3177984,2.8543496,2.6216123,18.239136
0.075,0.050995685,1.2610884,2.859319,2.4426987,-10.64502
0.08,0.053588755,1.2710974,2.864408,2.477029,17.009155
0.085,0.056058813,1.2182747,2.8691077,2.3099682,-9.692871
0.09,0.058560815,1.2268872,2.873915,2.3398297,15.81073
0.095,0.060948383,1.1778214,2.8783596,2.184321,-8.7630005
0.1,0.06336411,1.1850312,2.8828995,2.2096696,14.636414
0.105,0.06567374,1.1395894,2.8871026,2.0653868,-7.854065
0.11,0.068007745,1.1453978,2.8913891,2.086205,13.494324
0.115,0.07024376,1.1034554,2.8953636,1.9528354,-6.961853
0.12,0.07250037,1.1078622,2.8994093,1.9691035,12.385193
0.125,0.07466687,1.0693089,2.9031682,1.8463677,-6.0802
0.13,0.07685014,1.0723029,2.9069855,1.8580335,11.303711
0.135,0.07895099,1.0370333,2.91054,1.7456588,-5.204712
0.14,0.08106479,1.0386102,2.9141412,1.7526935,10.257202
0.145,0.08310366,1.0065161,2.9175029,1.650387,-4.3328247
0.15,0.08515165,1.0066758,2.9208984,1.6527773,9.250793
0.155,0.087132,0.9776576,2.9240782,1.5602666,-3.458191
0.16,0.08911766,0.9763993,2.9272795,1.5579993,8.28595
0.165,0.09104276,0.9503439,2.9302874,1.4749609,-2.5802612
0.17,0.0929694,0.94769,2.933304,1.4680997,7.3779297
0.17500000000000002,0.09484234,0.9244742,2.9361496,1.3941703,-1.697998
0.18,0.09671315,0.92046905,2.9389923,1.3828521,6.538208
0.185,0.098536775,0.89993316,2.9416845,1.3175446,-0.8198242
0.19,0.10035481,0.8946695,2.9443622,1.3020649,5.789734
0.195,0.10213179,0.87661844,2.9469094,1.2447709,0.042236328
0.2,0.10390004,0.8702405,2.9494317,1.2255969,5.152527
0.20500000000000002,0.10563282,0.85442775,2.9518416,1.1755335,0.86505127
0.21,0.10735417,0.84714186,2.9542177,1.1533371,4.647949
0.215,0.10904495,0.83327293,2.9564972,1.1095607,1.619812
0.22,0.1107222,0.82533485,2.958736,1.0851777,4.2890015
0.225,0.11237301,0.8130906,2.9608915,1.0466591,2.281189
0.23,0.11400883,0.8047702,2.9630013,1.0209749,4.0723267
0.23500000000000001,0.11562154,0.7938388,2.9650388,0.9867046,2.8357544
0.24,0.11721844,0.78538454,2.9670277,0.96053576,3.980713
0.245,0.11879482,0.77548814,2.9689524,0.92961216,3.2842407
0.25,0.12035512,0.76710486,2.9708278,0.9036335,3.9899902
0.255,0.12189687,0.75801903,2.9726455,0.87532747,3.640686
0.26,0.123422705,0.7498479,2.9744143,0.85000616,4.0689697
0.265,0.124931484,0.7414094,2.9761302,0.8237881,3.9273376
0.27,0.1264248,0.7335378,2.9777985,0.799415,4.1920166
0.275,0.12790228,0.72563565,2.9794178,0.7749249,4.165497
0.28,0.12936486,0.7181065,2.9809911,0.75164485,4.3381042
0.28500000000000003,0.13081257,0.71066684,2.982519,0.7286437,4.3712463
0.29,0.13224608,0.7034956,2.9840028,0.7065107,4.493988
0.295,0.13366558,0.6964671,2.9854438,0.68483365,4.5546265
0.3,0.13507153,0.6896536,2.9868433,0.6638504,4.6520996
0.305,0.13646425,0.68300015,2.9882023,0.64338136,4.7225037
0.31,0.13784413,0.6765335,2.989522,0.6235154,4.807068
0.315,0.13921146,0.6702294,2.9908035,0.604173,4.8797607
0.32,0.1405666,0.664094,2.9920475,0.585375,4.9561768
0.325,0.14190988,0.6581185,2.9932556,0.5670934,5.0286255
0.33,0.14324158,0.65229833,2.9944282,0.54931307,5.0991516
0.335,0.14456204,0.6466326,2.9955668,0.53203225,5.1697693
0.34,0.1458715,0.64111096,2.9966722,0.5152168,5.2354126
0.34500000000000003,0.14717029,0.6357355,2.9977453,0.4988744,5.302643
0.35000000000000003,0.14845867,0.6304972,2.9987867,0.4829759,5.3656006
0.355,0.14973693,0.62539786,2.9997976,0.46752682,5.4298096
0.36,0.15100531,0.6204282,3.000779,0.4524977,5.4896545
0.365,0.15226407,0.61558706,3.0017312,0.43788505,5.5492554
0.37,0.15351348,0.6108718,3.0026555,0.4236803,5.6078186
0.375,0.15475374,0.6062759,3.0035524,0.4098629,5.6633606
0.38,0.15598512,0.6017997,3.004423,0.39643353,5.71933
0.385,0.15720782,0.59743667,3.0052674,0.38337106,5.772156
0.39,0.15842208,0.5931869,3.0060868,0.37067664,5.82547
0.395,0.15962812,0.5890443,3.0068817,0.35832986,5.8757324
0.4,0.16082615,0.58500856,3.007653,0.34633058,5.926239
0.405,0.16201636,0.58107364,3.0084014,0.3346589,5.9737244
0.41000000000000003,0.16319898,0.5772383,3.0091271,0.32331073,6.020813
0.41500000000000004,0.16437414,0.57350135,3.0098312,0.31228223,6.067505
0.42,0.1655421,0.56985694,3.0105138,0.3015548,6.1113586
0.425,0.16670299,0.56630665,3.011176,0.2911336,6.156311
0.43,0.16785699,0.5628421,3.0118182,0.28099105,6.1968994
0.435,0.1690043,0.5594671,3.012441,0.27114046,6.239929
0.44,0.17014508,0.5561738,3.0130446,0.2615559,6.278839
0.445,0.1712795,0.5529645,3.01363,0.25224468,6.3191833
0.45,0.17240769,0.54983336,3.0141973,0.24318793,6.3565674
0.455,0.1735298,0.54678017,3.0147474,0.23438542,6.394104
0.46,0.17464602,0.543802,3.0152805,0.22582752,6.4302063
0.465,0.17575645,0.5408972,3.0157971,0.2175085,6.4655457
0.47000000000000003,0.17686127,0.53806335,3.0162978,0.2094209,6.4997864
0.47500000000000003,0.1779606,0.53529876,3.016783,0.20155932,6.5332947
0.48,0.17905459,0.5326011,3.017253,0.19391574,6.565613
0.485,0.18014333,0.5299698,3.0177083,0.18648884,6.59787
0.49,0.181227,0.5274008,3.0181494,0.17926508,6.6279907
0.495,0.18230568,0.52489424,3.0185766,0.17224543,6.6584167
0.5,0.18337949,0.5224473,3.0189905,0.16542034,6.687378
